epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.493,1.33611,2.86921,1.64364,0.57454,0.85,0.87817,0.63489,1.64855,1.07041,1.38313,0,0,0
2,13.6815,1.20416,2.69406,1.511,0.56574,0.85,0.8488,0.6319,1.64598,1.06035,1.3735,1.15073e-06,1.15073e-06,1.15073e-06
3,16.6855,1.16016,3.63358,1.5732,0.55956,0.85,0.85083,0.61618,1.66662,1.0611,1.37913,2.22292e-06,2.22292e-06,2.22292e-06
4,19.7005,1.27764,2.74083,1.38881,0.56026,0.85,0.84952,0.61586,1.66068,1.05359,1.3779,3.21657e-06,3.21657e-06,3.21657e-06
5,24.1214,1.37238,3.0893,1.72672,0.56524,0.85,0.85526,0.63771,1.65914,1.04098,1.37156,4.13168e-06,4.13168e-06,4.13168e-06
6,31.6654,1.56278,4.11873,1.96546,0.54417,0.85,0.8936,0.63826,1.68671,1.05948,1.37812,4.96825e-06,4.96825e-06,4.96825e-06
7,35.7504,1.143,1.91889,1.42244,0.53987,0.852,0.89406,0.64297,1.68515,1.05903,1.37748,5.72628e-06,5.72628e-06,5.72628e-06
8,38.9204,1.37182,4.02697,1.61413,0.54996,0.86018,0.85911,0.61257,1.64407,1.05764,1.35292,6.40577e-06,6.40577e-06,6.40577e-06
9,42.0734,1.12712,2.72881,1.41688,0.56937,0.86423,0.81826,0.6116,1.66618,1.05941,1.36356,7.00672e-06,7.00672e-06,7.00672e-06
10,45.2644,1.18666,3.49428,1.59595,0.58072,0.86435,0.81412,0.59541,1.66111,1.06095,1.35763,7.52913e-06,7.52913e-06,7.52913e-06
11,48.2854,1.22101,2.51528,1.4611,0.59048,0.86446,0.85595,0.63692,1.66138,1.0654,1.35809,7.973e-06,7.973e-06,7.973e-06
12,51.587,1.00094,2.06573,1.37261,0.58935,0.86284,0.85562,0.63774,1.67159,1.07604,1.36612,8.33833e-06,8.33833e-06,8.33833e-06
13,55.046,0.885,2.31664,1.14219,0.59138,0.86667,0.85489,0.63766,1.65838,1.07055,1.35868,8.62512e-06,8.62512e-06,8.62512e-06
14,58.089,1.13445,2.24463,1.53199,0.60699,0.86667,0.88825,0.64393,1.66276,1.09555,1.36196,8.83337e-06,8.83337e-06,8.83337e-06
15,61.5037,0.98585,1.75081,1.15185,0.61285,0.86667,0.88272,0.64286,1.66705,1.10474,1.36561,8.96308e-06,8.96308e-06,8.96308e-06
16,64.5197,1.2287,2.59999,1.63231,0.78128,0.65,0.87537,0.64341,1.68178,1.12684,1.37676,9.01425e-06,9.01425e-06,9.01425e-06
17,67.8367,0.91504,1.95025,1.25921,0.77183,0.65,0.87124,0.64259,1.68562,1.13804,1.38178,8.98688e-06,8.98688e-06,8.98688e-06
18,71.4402,1.21228,1.71916,1.38767,0.77183,0.65,0.87124,0.64259,1.68562,1.13804,1.38178,8.88097e-06,8.88097e-06,8.88097e-06
19,74.6092,1.06416,2.06906,1.18156,0.76359,0.65,0.85569,0.63955,1.70682,1.18151,1.39983,8.69652e-06,8.69652e-06,8.69652e-06
20,78.0558,0.97163,1.74085,1.24077,0.76359,0.65,0.85569,0.63955,1.70682,1.18151,1.39983,8.43353e-06,8.43353e-06,8.43353e-06
21,81.4101,0.8287,1.33605,1.19726,0.75418,0.65,0.85558,0.6297,1.72023,1.22166,1.41206,8.092e-06,8.092e-06,8.092e-06
22,84.4249,0.71318,1.20627,1.14856,0.75418,0.65,0.85558,0.6297,1.72023,1.22166,1.41206,7.67193e-06,7.67193e-06,7.67193e-06
23,87.788,1.06334,1.75572,1.48287,0.73432,0.65,0.85531,0.62599,1.68017,1.23666,1.39328,7.17332e-06,7.17332e-06,7.17332e-06
24,91.7525,0.86986,1.16951,1.10953,0.73432,0.65,0.85531,0.62599,1.68017,1.23666,1.39328,6.59617e-06,6.59617e-06,6.59617e-06
25,99.0222,0.78621,1.22574,1.0984,0.66894,0.68333,0.85317,0.62583,1.67031,1.22955,1.39447,5.94048e-06,5.94048e-06,5.94048e-06
26,102.1,0.71967,1.12006,1.09455,0.66894,0.68333,0.85317,0.62583,1.67031,1.22955,1.39447,5.20625e-06,5.20625e-06,5.20625e-06
27,105.167,0.73093,1.09093,1.027,0.67635,0.68333,0.85407,0.62644,1.66872,1.24826,1.3917,4.39348e-06,4.39348e-06,4.39348e-06
28,108.436,0.62763,1.10094,1.04886,0.67635,0.68333,0.85407,0.62644,1.66872,1.24826,1.3917,3.50217e-06,3.50217e-06,3.50217e-06
29,111.672,1.13786,2.17872,1.62457,0.67907,0.6857,0.85362,0.62524,1.66232,1.28329,1.38875,2.53232e-06,2.53232e-06,2.53232e-06
30,114.794,0.69788,1.19545,1.1593,0.67907,0.6857,0.85362,0.62524,1.66232,1.28329,1.38875,1.48393e-06,1.48393e-06,1.48393e-06
